# Hand-set projections that beat the model. games = projected STARTS for goalies, projected GP for skaters (84-game season).
# Goalie splits: estimates from DailyFaceoff's 2026-27 tandem rankings (Sep 24 2026) + depth charts. Edit freely and re-run.
name,team,games,note
Lukas Dostal,ANA,52,
Ville Husso,ANA,24,
Jeremy Swayman,BOS,56,
Michael DiPietro,BOS,26,
Ukko-Pekka Luukkonen,BUF,38,3-man rotation
Alex Lyon,BUF,26,3-man rotation
Brandon Bussi,CAR,44,near-even split
Pyotr Kochetkov,CAR,38,near-even split
Jet Greaves,CBJ,52,
Elvis Merzlikins,CBJ,8,shoulder surgery
Dustin Wolf,CGY,56,
Devin Cooley,CGY,26,
Spencer Knight,CHI,56,
Arvid Soderblom,CHI,26,
Scott Wedgewood,COL,44,1A/1B
Mackenzie Blackwood,COL,38,1A/1B
Jake Oettinger,DAL,54,
Casey DeSmith,DAL,28,
John Gibson,DET,48,
Daniil Tarasov,DET,32,
Tristan Jarry,EDM,44,Andersen hurt
Frederik Andersen,EDM,22,injured in camp
Devon Levi,EDM,16,
Jacob Markstrom,FLA,46,
Akira Schmid,FLA,36,
Anton Forsberg,LAK,44,1A/1B
Darcy Kuemper,LAK,38,1A/1B
Jesper Wallstedt,MIN,50,
Filip Gustavsson,MIN,20,hip surgery
Calvin Pickard,MIN,12,
Jakub Dobes,MTL,50,
Jacob Fowler,MTL,28,
Jake Allen,NJD,45,
Nico Daws,NJD,25,
Juuse Saros,NSH,54,
Justus Annunen,NSH,28,
Ilya Sorokin,NYI,58,
Semyon Varlamov,NYI,12,
Vitek Vanecek,NYI,12,
Igor Shesterkin,NYR,60,
Joonas Korpisalo,NYR,22,
Linus Ullmark,OTT,52,
Samuel Ersson,OTT,18,
Dan Vladar,PHI,42,1A/1B
Joseph Woll,PHI,40,1A/1B
Sergei Murashov,PIT,46,expected to take over by Dec
Arturs Silovs,PIT,32,
Joey Daccord,SEA,50,
Philipp Grubauer,SEA,32,
Yaroslav Askarov,SJS,55,
Alex Nedeljkovic,SJS,22,
Joel Hofer,STL,54,
Jordan Binnington,STL,28,
Andrei Vasilevskiy,TBL,60,
Dennis Hildeby,TBL,20,
Sergei Bobrovsky,TOR,48,age 38
Anthony Stolarz,TOR,34,
Karel Vejmelka,UTA,58,
Sebastian Cossa,UTA,24,
Kevin Lankinen,VAN,40,Demko hurt
Thatcher Demko,VAN,30,hip surgery - misses start
Nikita Tolopilo,VAN,12,
Carter Hart,VGK,42,1A/1B
Adin Hill,VGK,40,1A/1B
Stuart Skinner,WPG,50,Hellebuyck holdout
Thomas Milic,WPG,26,
Connor Hellebuyck,WPG,30,HOLDOUT - could sit all season or be traded to start elsewhere
Logan Thompson,WSH,56,
Charlie Lindgren,WSH,26,
Connor Bedard,CHI,64,shoulder surgery - out ~first 14+ games
Seth Jarvis,CAR,64,shoulder surgery - misses start
Kevin Fiala,LAK,45,2nd leg surgery Sep 10 - no timeline
Brad Marchand,FLA,58,out all of October
